"COU","Country","VAR","Variable","RISK","Risk","SEX","Sex","AGE","Age","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,4.609,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",1.96,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,4.678,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",2.1,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,5.578,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",3.98,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,4.907,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",1.7,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,6.21,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",2.29,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,5.241,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",4.14,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,4.683,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",1.8,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,5.768,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",2.34,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,16.93,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",49.85,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,10.797,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",15.88,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,23.05,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",33.97,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,60.239,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",199.38,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,35.309,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",57.95,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,84.758,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",141.44,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,72.692,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",215.54,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,46.757,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",68.45,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,97.98,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",147.1,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,368.937,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",267.33,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,323.977,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",124.51,,
"AUS","Australia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,419.716,,
"AUS","Australia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",142.82,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,1183.025,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",1126.42,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,1031.032,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",555.76,,
"AUT","Austria","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,1381.343,,
"AUT","Austria","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",570.66,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,1341.87,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",1184.7,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,1110.198,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",550.2,,
"BEL","Belgium","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,1638.326,,
"BEL","Belgium","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",634.5,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",169.86,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",240.21,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,19.064,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",27.57,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,110.741,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,405.935,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,7.31,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,458.577,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,27.579,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",2.47,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",80.14,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,90.774,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,36.016,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",354.99,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","15TO64","15 to 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",52.57,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,520.506,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",199.89,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",440.11,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","MORETHAN64","More than 64 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",185.13,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",4.98,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,7.203,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,7.1,,
"CAN","Canada","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,100.683,,
"CAN","Canada","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","LESSTHAN15","Less than 15 years old","2019","2019","USD","US Dollar","0","Units","2015","2015",2.51,,
"CZE","Czech Republic","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,585.256,,
"CZE","Czech Republic","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",2245.76,,
"CZE","Czech Republic","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,531.788,,
"CZE","Czech Republic","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",1036.32,,
"CZE","Czech Republic","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,640.43,,
"CZE","Czech Republic","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",1209.44,,
"DNK","Denmark","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,224.931,,
"DNK","Denmark","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",1157.86,,
"DNK","Denmark","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,210.644,,
"DNK","Denmark","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",545.26,,
"DNK","Denmark","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,239.382,,
"DNK","Denmark","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",612.6,,
"CHL","Chile","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,307.534,,
"CHL","Chile","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",803.4,,
"CHL","Chile","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,275.577,,
"CHL","Chile","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",365.06,,
"CHL","Chile","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,340.411,,
"CHL","Chile","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",438.34,,
"COL","Colombia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,259.564,,
"COL","Colombia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",391.85,,
"COL","Colombia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,241.938,,
"COL","Colombia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","FEMALE","Female","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",185.96,,
"COL","Colombia","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,277.849,,
"COL","Colombia","SC_CAP","Welfare cost of premature deaths, USD per capita","PM_2_5_OUT","Ambient Particulate Matter","MALE","Male","ALL","All","2019","2019","USD","US Dollar","0","Units","2015","2015",205.88,,
"CRI","Costa Rica","MOR_CAP","Premature deaths, per million inhabitants","PM_2_5_OUT","Ambient Particulate Matter","BOTH","Both","ALL","All","2019","2019","1000000HAB","Per 1 000 000 inhabitants","0","Units",,,185.842,,
